,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
195,38,Static,Numpad,18389,2,1,0.59443417,0.044971144,0.899999976,1.514044819,0.98786953,0.033142497,18389
375,84,Static,Numpad,19761,2,1,0.539407991,0.061219024,0.899999976,1.668495817,1.032325723,0.046053548,19761
165,86,Static,Numpad,23550,2,1,0.576774192,0.01538463,0.899999976,1.560402647,1.000966693,0.012061851,23550
325,79,Static,Numpad,25611,2,1,0.517220455,0.052564495,0.899999976,1.740070345,1.050288065,0.041314255,25611
125,34,Static,Numpad,26190,2,1,0.449771772,0.151274742,0.899999976,2.00101481,1.116028048,0.108181394,26190
315,46,Static,Numpad,28179,2,1,0.540489756,0.083982424,0.899999976,1.6651564,1.032688749,0.060832565,28179
45,32,Static,Numpad,28430,2,1,0.517625856,0.063600267,0.899999976,1.738707536,1.05042925,0.046668605,28430
403,82,Static,Numpad,30061,2,1,0.452800147,0.114384236,0.899999976,1.987631809,1.109670938,0.082681414,30061
443,78,Static,Numpad,33190,2,1,0.598334237,0.058568819,0.899999976,1.504175962,0.985371828,0.040536688,33190
423,40,Static,Numpad,34691,2,1,0.565186933,0.10060031,0.899999976,1.59239346,1.013872815,0.070395016,34691
95,58,Static,Numpad,38590,2,1,0.508710327,0.073309711,0.899999976,1.769179687,1.058396885,0.052175149,38590
305,64,Static,Numpad,46290,2,1,0.970470539,0.015374547,0.899999976,0.92738516,0.747807887,0.007916522,46290
235,54,Static,Numpad,53311,2,1,0.520817934,0.049412058,0.899999976,1.728051045,1.047150181,0.036902435,53311
155,80,Static,Numpad,55491,2,2,0.53933682,0.054465065,0.899999976,1.66871599,1.03206408,0.039152911,27321
355,48,Static,Numpad,115303,2,1,0.595021119,0.133647402,0.899999976,1.512551315,0.992483194,0.076179335,115303
6,61,Responsive,Weather,10441,1,2,0.731969663,0.116623312,0.300000012,0.409853068,0.396095949,0.052856077,8225
136,33,Responsive,Weather,11961,1,2,0.775089269,0.347574878,0.300000012,0.387052207,0.426061914,0.15939039,11110
434,47,Responsive,Weather,12004,1,2,0.698229603,0.281178915,0.305172425,0.437066008,0.444178334,0.117180573,9584
276,39,Responsive,Weather,12670,1,2,0.741757837,0.175812633,0.300000012,0.404444681,0.400630395,0.082916422,11960
16,59,Responsive,Weather,12930,1,2,0.672034576,0.044106522,0.300000012,0.446405621,0.421130274,0.02335726,12380
336,41,Responsive,Weather,15310,1,2,0.831415705,0.111692938,0.300000012,0.36083034,0.351567871,0.044869806,13880
146,45,Responsive,Weather,15790,1,2,0.779266786,0.234215491,0.300000012,0.384977286,0.389718614,0.087423991,14820
106,67,Responsive,Weather,16354,1,2,0.887595035,0.404139191,0.300000012,0.33799199,0.377761322,0.130093799,14904
66,69,Responsive,Weather,17451,1,2,0.711693258,0.110179789,0.300000012,0.421529934,0.406240113,0.056329658,16321
86,51,Responsive,Weather,18460,1,2,0.652398843,0.217932351,0.300000012,0.459841422,0.466479477,0.139429792,17761
394,71,Responsive,Weather,19260,1,4,0.730887118,0.177079351,0.300000012,0.410460117,0.403248991,0.066778382,14460
286,55,Responsive,Weather,24041,1,2,0.694982694,0.232086707,0.300000012,0.431665442,0.454084599,0.180262161,23151
36,57,Responsive,Weather,24251,1,2,0.801182641,0.44994964,0.300000012,0.37444647,0.445029275,0.207448814,21910
226,65,Responsive,Weather,24790,1,2,0.607640297,0.211528722,0.300000012,0.493713161,0.489242166,0.115391918,24740
414,49,Responsive,Weather,29941,1,2,0.46548735,0.129083423,0.300000012,0.644485853,0.594269483,0.113452622,28681
