,hPos,aPos,unixTime,Distance
373,"{'x': 0.0063246614299714565, 'y': -0.013610943220555782, 'z': 0.044009819626808167}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088288015,0.5602624206167441
374,"{'x': 0.004236859269440174, 'y': -0.012865838594734669, 'z': 0.04944866895675659}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088288116,0.5547527249466025
375,"{'x': 0.0028474805876612663, 'y': -0.012211757712066174, 'z': 0.056032292544841766}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088288215,0.5481246807190442
376,"{'x': 0.0010273687075823545, 'y': -0.012318748049438, 'z': 0.06122840940952301}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088288316,0.5428905432507569
377,"{'x': -0.0013199547538533807, 'y': -0.012368883937597275, 'z': 0.06505265086889267}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088288416,0.5390228013390341
378,"{'x': -0.0041150981560349464, 'y': -0.010800439864397049, 'z': 0.06812858581542969}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088288515,0.5358798511458669
379,"{'x': -0.006841293536126614, 'y': -0.010131999850273132, 'z': 0.07119908928871155}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088288615,0.5327733473304527
380,"{'x': -0.008824841119349003, 'y': -0.00932398997247219, 'z': 0.073691725730896}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088288715,0.530259415658648
381,"{'x': -0.010006693191826344, 'y': -0.009192634373903275, 'z': 0.07510188221931458}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088288815,0.5288448649160468
382,"{'x': -0.011702479794621468, 'y': -0.009955862537026405, 'z': 0.07566186040639877}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088288915,0.5282955727224926
383,"{'x': -0.013099651783704758, 'y': -0.010656042024493217, 'z': 0.07548148185014725}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088289015,0.5284907017999828
384,"{'x': -0.013430342078208923, 'y': -0.011255741119384766, 'z': 0.07554049789905548}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088289115,0.5284428235973487
385,"{'x': -0.013925669714808464, 'y': -0.01088632270693779, 'z': 0.07515115290880203}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088289216,0.5288289649386425
386,"{'x': -0.01439719833433628, 'y': -0.010449109598994255, 'z': 0.07567287981510162}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088289316,0.528303702891786
387,"{'x': -0.014794396236538887, 'y': -0.010775226168334484, 'z': 0.07693297415971756}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088289415,0.5270516995976289
388,"{'x': -0.016143441200256348, 'y': -0.011915012262761593, 'z': 0.07803136855363846}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088289517,0.5259847444256867
389,"{'x': -0.017790300771594048, 'y': -0.012559453025460243, 'z': 0.0791061744093895}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088289616,0.5249417208133085
390,"{'x': -0.0194610133767128, 'y': -0.01252223365008831, 'z': 0.07980390638113022}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088289716,0.5242687492407191
391,"{'x': -0.02203764021396637, 'y': -0.012797720730304718, 'z': 0.08037306368350983}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088289815,0.5237545559504514
392,"{'x': -0.022504035383462906, 'y': -0.013297905214130878, 'z': 0.08087535202503204}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088289915,0.5232728199638422
393,"{'x': -0.02110532857477665, 'y': -0.01426740176975727, 'z': 0.08067084103822708}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088290016,0.5234683208559547
394,"{'x': -0.019529098644852638, 'y': -0.014170750044286251, 'z': 0.08000455051660538}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088290116,0.5241032225504434
395,"{'x': -0.017505206167697906, 'y': -0.014013591222465038, 'z': 0.07943795621395111}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088290215,0.52463596500063
396,"{'x': -0.015273825265467167, 'y': -0.01511771883815527, 'z': 0.0784536749124527}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088290317,0.5256209554987111
397,"{'x': -0.013020425103604794, 'y': -0.015845665708184242, 'z': 0.07690104842185974}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088290415,0.5271761541053647
398,"{'x': -0.010731200687587261, 'y': -0.01743418164551258, 'z': 0.07455190271139145}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088290525,0.529561642553847
399,"{'x': -0.008301377296447754, 'y': -0.01929457113146782, 'z': 0.07186932861804962}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088290615,0.5323037565363818
400,"{'x': -0.006583532318472862, 'y': -0.021354444324970245, 'z': 0.06964217126369476}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088290716,0.5346086725468974
401,"{'x': -0.005202502943575382, 'y': -0.026234550401568413, 'z': 0.06729260832071304}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088290816,0.5371619619896998
402,"{'x': -0.0047231558710336685, 'y': -0.029961762949824333, 'z': 0.06419505923986435}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088290917,0.5404375579243264
403,"{'x': -0.005298009142279625, 'y': -0.03138900175690651, 'z': 0.06208250671625137}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088291016,0.5426151957268708
404,"{'x': -0.005478622391819954, 'y': -0.03206905350089073, 'z': 0.05981207638978958}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088291116,0.5449169598288081
405,"{'x': -0.004291420802474022, 'y': -0.030502576380968094, 'z': 0.05667174607515335}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088291215,0.5479830570725966
406,"{'x': -0.004020595457404852, 'y': -0.03064427711069584, 'z': 0.05253170430660248}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088291316,0.5521278696552082
407,"{'x': -0.004857008345425129, 'y': -0.030436748638749123, 'z': 0.04847648739814758}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088291416,0.5561577383791737
408,"{'x': -0.006179236341267824, 'y': -0.03090294636785984, 'z': 0.04622851312160492}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088291531,0.5584139843072398
